node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
3723,,-111.92755,33.4239282,165,1,
3724,,-111.9275498,33.423865,165,1,
3725,,-111.9275497,33.4238019,165,1,
3726,,-111.9275495,33.4237387,165,1,
3727,,-111.9275493,33.4236756,165,1,
3728,,-111.9275491,33.4236124,165,1,
3729,,-111.9275489,33.4235492,165,1,
3730,,-111.9275488,33.4234861,165,1,
3731,,-111.9274735,33.4234862,166,1,
3732,,-111.9274736,33.4235494,166,1,
3733,,-111.9274738,33.4236125,166,1,
3734,,-111.927474,33.4236756,166,1,
3735,,-111.9274742,33.4237387,166,1,
3736,,-111.9274744,33.4238018,166,1,
3737,,-111.9274745,33.423865,166,1,
3738,,-111.9274747,33.4239281,166,1,
3739,,-111.9274749,33.4239912,166,1,
3740,,-111.9274751,33.4240543,166,1,
3741,,-111.9274753,33.4241174,166,1,
3742,,-111.9274754,33.4241806,166,1,
3743,,-111.9274756,33.4242437,166,1,
3744,,-111.9274758,33.4243068,166,1,
3745,,-111.927476,33.4243699,166,1,
3746,,-111.9274761,33.424433,166,1,
3747,,-111.9339523,33.4219435,167,1,
3748,,-111.9339563,33.4219962,167,1,
3749,,-111.9339147,33.4219456,167,2,
3750,,-111.9339188,33.4219982,167,2,
3751,,-111.9340315,33.4219922,168,1,
3752,,-111.9340275,33.4219395,168,1,
3753,,-111.9340691,33.4219901,168,2,
3754,,-111.934065,33.4219375,168,2,
3756,,-111.930687,33.4219689,169,1,
3757,,-111.9306128,33.4219699,169,1,
3758,,-111.9305386,33.421971,169,1,
3759,,-111.9304643,33.421972,169,1,
3760,,-111.9303901,33.4219731,169,1,
3761,,-111.9303159,33.4219741,169,1,
3762,,-111.9302417,33.4219752,169,1,
3763,,-111.9301674,33.4219759,169,1,
3764,,-111.9300932,33.4219764,169,1,
3765,,-111.930019,33.4219769,169,1,
3766,,-111.9299448,33.4219774,169,1,
3767,,-111.9298705,33.4219779,169,1,
3768,,-111.9297963,33.4219784,169,1,
3769,,-111.9297228,33.4219814,169,1,
3771,,-111.9306852,33.4219373,169,2,
3772,,-111.9306098,33.4219384,169,2,
3773,,-111.9305343,33.4219394,169,2,
3774,,-111.9304589,33.4219405,169,2,
3775,,-111.9303835,33.4219416,169,2,
3776,,-111.9303081,33.4219427,169,2,
3777,,-111.9302327,33.4219437,169,2,
3778,,-111.9301572,33.4219444,169,2,
3779,,-111.9300818,33.4219449,169,2,
3780,,-111.9300064,33.4219454,169,2,
3781,,-111.9299309,33.4219459,169,2,
3782,,-111.9298555,33.4219464,169,2,
3783,,-111.9297801,33.4219469,169,2,
3784,,-111.9297062,33.4219531,169,2,
3785,,-111.9348401,33.4219327,170,1,
3786,,-111.9347679,33.4219333,170,1,
3787,,-111.9346956,33.4219338,170,1,
3788,,-111.9346234,33.4219344,170,1,
3789,,-111.9345512,33.4219349,170,1,
3790,,-111.9344789,33.4219355,170,1,
3791,,-111.9344067,33.421936,170,1,
3792,,-111.9343345,33.4219366,170,1,
3793,,-111.9342622,33.4219371,170,1,
3794,,-111.93419,33.4219377,170,1,
3795,,-111.9341177,33.4219383,170,1,
3796,,-111.9348398,33.4219011,170,2,
3797,,-111.9347675,33.4219017,170,2,
3798,,-111.9346953,33.4219022,170,2,
3799,,-111.934623,33.4219028,170,2,
3800,,-111.9345508,33.4219033,170,2,
3801,,-111.9344786,33.4219039,170,2,
3802,,-111.9344063,33.4219045,170,2,
3803,,-111.9343341,33.421905,170,2,
3804,,-111.9342619,33.4219056,170,2,
3805,,-111.9341896,33.4219061,170,2,
3806,,-111.9341174,33.4219067,170,2,
3807,,-111.9366981,33.4218368,171,1,
3808,,-111.936697,33.4217693,171,1,
3809,,-111.9366958,33.4217018,171,1,
3810,,-111.9366946,33.4216344,171,1,
3811,,-111.9366934,33.4215669,171,1,
3812,,-111.9366923,33.4214994,171,1,
3813,,-111.9366911,33.4214319,171,1,
3814,,-111.9366899,33.4213644,171,1,
3815,,-111.9366146,33.4213653,172,1,
3816,,-111.9366158,33.4214327,172,1,
3817,,-111.936617,33.4215001,172,1,
3818,,-111.9366181,33.4215675,172,1,
3819,,-111.9366193,33.4216349,172,1,
3820,,-111.9366205,33.4217023,172,1,
3821,,-111.9366217,33.4217697,172,1,
3822,,-111.9366228,33.4218371,172,1,
3823,,-111.9262643,33.4200905,173,1,
3824,,-111.926263,33.4201297,173,1,
3825,,-111.9262267,33.4200896,173,2,
3826,,-111.9262254,33.4201288,173,2,
3827,,-111.926189,33.4200888,173,3,
3828,,-111.9261877,33.4201279,173,3,
3829,,-111.9261514,33.4200879,173,4,
3830,,-111.9261501,33.420127,173,4,
3831,,-111.9263384,33.4201275,174,1,
3832,,-111.9263396,33.4200923,174,1,
3833,,-111.926376,33.4201284,174,2,
3834,,-111.9263772,33.4200931,174,2,
3835,,-111.9264137,33.4201293,174,3,
3836,,-111.9264148,33.420094,174,3,
3838,,-111.9336573,33.4146718,175,1,
3839,,-111.9335879,33.4146887,175,1,
3840,,-111.9335184,33.4147046,175,1,
3841,,-111.9334461,33.4147054,175,1,
3842,,-111.9333739,33.4147062,175,1,
3843,,-111.9333017,33.414707,175,1,
3844,,-111.9332294,33.4147078,175,1,
3845,,-111.9331572,33.4147085,175,1,
3846,,-111.933085,33.4147093,175,1,
3847,,-111.9330127,33.4147101,175,1,
3848,,-111.9329405,33.4147109,175,1,
3849,,-111.9328697,33.4147211,175,1,
3851,,-111.932259,33.4147125,176,1,
3852,,-111.9323353,33.4146903,176,1,
3853,,-111.9324153,33.4146857,176,1,
3854,,-111.9324961,33.4146845,176,1,
3855,,-111.9325768,33.4146834,176,1,
3856,,-111.9326571,33.4146781,176,1,
3857,,-111.9322185,33.414771,176,2,
3858,,-111.9322838,33.4147387,176,2,
3859,,-111.9323573,33.4147182,176,2,
3860,,-111.9324349,33.414717,176,2,
3861,,-111.9325125,33.4147159,176,2,
3862,,-111.9325901,33.4147147,176,2,
3863,,-111.9326671,33.4147086,176,2,
3864,,-111.9322445,33.4147938,176,3,
3865,,-111.9323087,33.4147649,176,3,
3866,,-111.93238,33.4147494,176,3,
3867,,-111.9324545,33.4147483,176,3,
3868,,-111.9325289,33.4147472,176,3,
3869,,-111.9326033,33.4147461,176,3,
3870,,-111.932677,33.414739,176,3,
3871,,-111.9341241,33.4219947,177,1,
3872,,-111.9341956,33.4219938,177,1,
3873,,-111.9342672,33.4219928,177,1,
3874,,-111.9343387,33.4219919,177,1,
3875,,-111.9344103,33.4219909,177,1,
3876,,-111.9344818,33.42199,177,1,
3877,,-111.9345534,33.421989,177,1,
3878,,-111.9346249,33.4219881,177,1,
3879,,-111.9346965,33.4219871,177,1,
3880,,-111.934768,33.4219862,177,1,
3881,,-111.9348396,33.4219852,177,1,
3882,,-111.9341247,33.4220263,177,2,
3883,,-111.9341962,33.4220253,177,2,
3884,,-111.9342678,33.4220244,177,2,
3885,,-111.9343393,33.4220234,177,2,
3886,,-111.9344109,33.4220225,177,2,
3887,,-111.9344824,33.4220215,177,2,
3888,,-111.934554,33.4220206,177,2,
3889,,-111.9346255,33.4220196,177,2,
3890,,-111.9346971,33.4220187,177,2,
3891,,-111.9347686,33.4220177,177,2,
3892,,-111.9348402,33.4220168,177,2,
3893,,-111.9338595,33.4219396,178,1,
3894,,-111.933785,33.4219401,178,1,
3895,,-111.9337106,33.4219406,178,1,
3896,,-111.9336361,33.4219412,178,1,
3897,,-111.9335616,33.4219418,178,1,
3898,,-111.9334872,33.4219423,178,1,
3899,,-111.9334127,33.4219429,178,1,
3900,,-111.9333383,33.4219435,178,1,
3901,,-111.9332638,33.4219441,178,1,
3902,,-111.9331894,33.4219447,178,1,
3903,,-111.9331149,33.4219454,178,1,
3904,,-111.9330405,33.4219461,178,1,
3905,,-111.932966,33.4219468,178,1,
3906,,-111.9328915,33.4219475,178,1,
3907,,-111.9328171,33.4219482,178,1,
3908,,-111.9327426,33.421949,178,1,
3909,,-111.9326682,33.4219497,178,1,
3910,,-111.9325937,33.4219504,178,1,
3911,,-111.9325193,33.4219511,178,1,
3912,,-111.9324448,33.4219518,178,1,
3913,,-111.9323704,33.4219525,178,1,
3914,,-111.9322959,33.4219532,178,1,
3915,,-111.9322214,33.4219539,178,1,
3916,,-111.932147,33.4219546,178,1,
3917,,-111.9320725,33.4219553,178,1,
3918,,-111.9319981,33.421956,178,1,
